	service_id	trip_id	trip_headsign	direction_id	block_id	shape_id
7642	5	5759614	Route 12 - Midtown Station	1	316202	103143
7642	5	5769954	Route 12 - Midtown Station	1	315687	103143
7642	5	5777684	Route 12 - Midtown Station	1	315687	103143
7642	5	5777685	Route 12 - Midtown Station	1	316202	103143
7642	5	5755357	Route 12 - Midtown Station	1	317469	103143
7642	5	5755358	Route 12 - Midtown Station	1	316202	103143
7642	5	5796052	Route 12 - Midtown Station	1	315687	103143
7642	5	5777680	Route 12 - Midtown Station	1	315687	103143
7642	5	5755359	Route 12 - Midtown Station	1	317469	103143
7642	5	5784078	Route 12 - Midtown Station	1	316202	103143
7642	5	5777687	Route 12 - Midtown Station	1	315687	103143
7642	5	5755355	Route 12 - Midtown Station	1	315686	103143
7642	5	5755354	Route 12 - Midtown Station	1	317469	103143
7642	5	5777686	Route 12 - Midtown Station	1	317469	103143
7642	5	5792532	Route 12 - Midtown Station	1	316202	103143
7642	5	5769956	Route 12 - Midtown Station	1	316202	103143
7642	5	5769955	Route 12 - Midtown Station	1	316954	103249
7642	5	5766773	Route 12 - Midtown Station	1	317470	103249
7642	5	5795313	Route 12 - Midtown Station	1	315686	103143
7642	5	5766770	Route 12 - Midtown Station	1	316202	103143
7642	5	5755353	Route 12 - Midtown Station	1	315686	103143
7642	5	5766772	Route 12 - Midtown Station	1	315686	103143
7642	5	5759613	Route 12 - Midtown Station	1	317469	103143
7642	5	5766771	Route 12 - Midtown Station	1	317469	103143
7642	5	5769957	Route 12 - Midtown Station	1	315687	103143
7642	5	5769952	Route 12 - Midtown Station	1	315686	103143
7642	5	5766774	Route 12 - Midtown Station	1	315687	103143
7642	5	5795829	Route 12 - Midtown Station	1	315686	103143
7642	5	5759610	Route 12 - Midtown Station	1	317469	103143
7642	5	5778029	Route 12 - Midtown Station	1	315686	103143
7642	5	5763260	Route 12 - Midtown Station	1	315687	103143
7642	5	5769953	Route 12 - Midtown Station	1	316202	103143
7642	5	5784081	Route 12 - Midtown Station	1	315687	103143
7651	3	5774151	Route 27- Midtown Station	1	315846	103204
7651	3	5786409	Route 27- Midtown Station	1	315846	103204
7651	3	5780738	Route 27- Midtown Station	1	315846	103204
7651	3	5774149	Route 27- Midtown Station	1	317372	103204
7651	3	5757670	Route 27- Midtown Station	1	317372	103204
7651	3	5767237	Route 27- Midtown Station	1	315846	103204
7651	3	5753331	Route 27- Midtown Station	1	317372	103204
7651	3	5753332	Route 27- Midtown Station	1	317372	103204
7651	3	5785161	Route 27- Midtown Station	1	315846	103204
7651	3	5789013	Route 27- Midtown Station	1	317372	103204
7651	3	5761834	Route 27- Midtown Station	1	315846	103204
7651	3	5781981	Route 27- Midtown Station	1	315846	103204
7651	3	5767236	Route 27- Midtown Station	1	317372	103204
7651	3	5753219	Route 27- Midtown Station	1	317372	103204
7651	3	5779477	Route 27- Midtown Station	1	317372	103204
7651	3	5774150	Route 27- Midtown Station	1	315846	103204
7651	3	5774152	Route 27- Midtown Station	1	315846	103204
7651	3	5774147	Route 27- Midtown Station	1	317372	103204
7651	3	5789168	Route 27- Midtown Station	1	317372	103204
7651	3	5757671	Route 27- Midtown Station	1	315846	103204
7651	3	5788393	Route 27- Midtown Station	1	317372	103204
7651	3	5780739	Route 27- Midtown Station	1	315846	103204
7651	3	5793746	Route 27- Midtown Station	1	317372	103204
7651	3	5780740	Route 27- Midtown Station	1	317372	103204
7651	3	5767235	Route 27- Midtown Station	1	315846	103204
7651	3	5795403	Route 27- Midtown Station	1	315846	103204
7651	3	5774148	Route 27- Midtown Station	1	315846	103204
7651	4	5788705	Route 27- Midtown Station	1	315847	103204
7651	4	5791432	Route 27- Midtown Station	1	316856	103204
7651	4	5783885	Route 27- Midtown Station	1	315847	103204
7651	4	5763772	Route 27- Midtown Station	1	315847	103204
7651	4	5762405	Route 27- Midtown Station	1	316856	103204
7651	4	5758366	Route 27- Midtown Station	1	315847	103204
7651	4	5758367	Route 27- Midtown Station	1	316856	103204
7651	4	5763771	Route 27- Midtown Station	1	315847	103204
7651	4	5791975	Route 27- Midtown Station	1	316856	103204
7651	4	5776991	Route 27- Midtown Station	1	316856	103204
7651	4	5790931	Route 27- Midtown Station	1	316856	103204
7651	4	5783916	Route 27- Midtown Station	1	315847	103204
7651	4	5793677	Route 27- Midtown Station	1	316856	103204
7651	4	5776990	Route 27- Midtown Station	1	316856	103204
7651	4	5788706	Route 27- Midtown Station	1	316856	103204
7651	4	5762404	Route 27- Midtown Station	1	316856	103204
7651	4	5758368	Route 27- Midtown Station	1	315847	103204
7651	4	5762406	Route 27- Midtown Station	1	315847	103204
7651	4	5788707	Route 27- Midtown Station	1	315847	103204
